date,cases,K,r,C0,tau,end_date,dCdt,tpeak,peak,R2
17-Jun-2020,98489,181142,0.0686423691793673,202,58,20-Sep-2020,3108,98,14-Jun-2020,0.999160544744504
18-Jun-2020,102292,187135,0.068025997623388,210,58,22-Sep-2020,3182,99,15-Jun-2020,0.999182006403391
19-Jun-2020,105535,191631,0.0675698555824386,216,59,24-Sep-2020,3237,100,16-Jun-2020,0.999221967167158
20-Jun-2020,108775,194813,0.0672502044659259,221,59,24-Sep-2020,3275,100,16-Jun-2020,0.999269462786575
21-Jun-2020,112306,197702,0.0669573003139672,225,59,26-Sep-2020,3309,101,17-Jun-2020,0.999313984595691
22-Jun-2020,115786,200224,0.066696739898511,229,59,26-Sep-2020,3338,101,17-Jun-2020,0.999356387476028
23-Jun-2020,119198,202286,0.0664810101754533,232,60,26-Sep-2020,3362,101,17-Jun-2020,0.999397098613672
24-Jun-2020,122660,204124,0.0662843949622877,235,60,28-Sep-2020,3382,102,18-Jun-2020,0.999434850738869
25-Jun-2020,126606,206637,0.0660103204903914,239,60,28-Sep-2020,3410,102,18-Jun-2020,0.999463498512977
26-Jun-2020,130474,209464,0.0656985536922687,244,60,28-Sep-2020,3440,102,18-Jun-2020,0.999485640544007
27-Jun-2020,133978,211918,0.0654245090690187,248,61,30-Sep-2020,3466,103,19-Jun-2020,0.999508639588297
28-Jun-2020,137787,214539,0.0651284958266522,253,61,30-Sep-2020,3493,103,19-Jun-2020,0.999526951512208
29-Jun-2020,141801,217547,0.0647856116186902,259,61,30-Sep-2020,3523,103,19-Jun-2020,0.999537931857307
30-Jun-2020,145483,220381,0.0644605546313615,265,62,02-Oct-2020,3551,104,20-Jun-2020,0.999549106010099
